[WARNING] 2025-11-15 13:41:43,556 django.server basehttp 21748 35772 - "GET /static/admin/js/filters.js HTTP/1.1" 404 179
[INFO] 2025-11-15 13:41:43,589 django.server basehttp 21748 13952 - "GET /admin/jsi18n/ HTTP/1.1" 200 8946
[WARNING] 2025-11-15 13:41:43,597 django.request log 21748 13952 - Not Found: /static/admin/css/responsive.css
[WARNING] 2025-11-15 13:41:43,598 django.server basehttp 21748 13952 - "GET /static/admin/css/responsive.css HTTP/1.1" 404 179
[INFO] 2025-11-15 13:41:59,543 api views 21748 13952 - Listado de productos solicitado
[INFO] 2025-11-15 13:41:59,559 django.server basehttp 21748 13952 - "GET /api/productos/ HTTP/1.1" 200 3234
[INFO] 2025-11-15 13:52:58,702 api views 21748 23240 - Listado de productos solicitado
[INFO] 2025-11-15 13:52:58,707 django.server basehttp 21748 34660 - "GET /api/categorias/ HTTP/1.1" 200 621
[INFO] 2025-11-15 13:52:58,713 django.server basehttp 21748 34660 - "GET /api/categorias/ HTTP/1.1" 200 621
[INFO] 2025-11-15 13:52:58,723 django.server basehttp 21748 23240 - "GET /api/productos/ HTTP/1.1" 200 3234
[INFO] 2025-11-15 13:52:58,725 api views 21748 23240 - Listado de productos solicitado
[INFO] 2025-11-15 13:52:58,737 django.server basehttp 21748 23240 - "GET /api/productos/ HTTP/1.1" 200 3234
[INFO] 2025-11-16 11:36:31,311 django.utils.autoreload autoreload 21748 19080 - C:\Users\erica\Documents\Ansaloni, Erica R\comida_al_paso_project\comida_al_paso\settings.py changed, reloading.
[INFO] 2025-11-16 11:36:33,807 django.utils.autoreload autoreload 5452 36548 - Watching for file changes with StatReloader
[INFO] 2025-11-16 18:40:19,642 django.utils.autoreload autoreload 5452 36548 - C:\Users\erica\Documents\Ansaloni, Erica R\comida_al_paso_project\comida_al_paso\settings.py changed, reloading.
[INFO] 2025-11-16 18:40:22,099 django.utils.autoreload autoreload 16300 24412 - Watching for file changes with StatReloader
[INFO] 2025-11-16 18:42:54,564 django.utils.autoreload autoreload 16300 24412 - C:\Users\erica\Documents\Ansaloni, Erica R\comida_al_paso_project\comida_al_paso\settings.py changed, reloading.
[INFO] 2025-11-16 18:42:55,305 django.utils.autoreload autoreload 14780 28280 - Watching for file changes with StatReloader
[INFO] 2025-11-17 18:57:26,542 django.utils.autoreload autoreload 14780 28280 - C:\Users\erica\Documents\Ansaloni, Erica R\comida_al_paso_project\comida_al_paso\settings.py changed, reloading.
